2025-05-20 12:55:55,722 - ERROR - Файл шрифта TDAText\TDAText.ttf не найден
2025-05-20 12:58:37,533 - ERROR - Файл шрифта TDAText\GULAG Pavljenko.ttf не найден
2025-05-20 12:59:10,313 - ERROR - Файл шрифта TDAText\GULAGPavljenko.ttf не найден
2025-05-20 12:59:41,479 - ERROR - Файл шрифта TDAText\GULAGPavljenko.ttf не найден
2025-05-21 17:16:17,648 - ERROR - Error in update_opening_hours: name 'dead_time_periods' is not defined
2025-05-21 17:16:18,172 - ERROR - Error in update_opening_hours: name 'dead_time_periods' is not defined
2025-05-21 17:26:14,988 - INFO - Шрифт TDAText успешно загружен из TDAText\TDAText.ttf
2025-05-21 17:26:14,988 - DEBUG - font search path [WindowsPath('C:/Users/MaksR/AppData/Local/Programs/Python/Python313/Lib/site-packages/matplotlib/mpl-data/fonts/ttf'), WindowsPath('C:/Users/MaksR/AppData/Local/Programs/Python/Python313/Lib/site-packages/matplotlib/mpl-data/fonts/afm'), WindowsPath('C:/Users/MaksR/AppData/Local/Programs/Python/Python313/Lib/site-packages/matplotlib/mpl-data/fonts/pdfcorefonts')]
2025-05-21 17:26:16,068 - DEBUG - findfont: Matching TDAText:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2025-05-21 17:26:16,068 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\MaksR\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-21 17:26:16,068 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\MaksR\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-21 17:26:16,068 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\MaksR\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-05-21 17:26:16,069 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\MaksR\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymBol.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-21 17:26:16,069 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\MaksR\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-21 17:26:16,069 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\MaksR\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-05-21 17:26:16,069 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\MaksR\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-21 17:26:16,069 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\MaksR\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-05-21 17:26:16,069 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\MaksR\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymBol.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-21 17:26:16,069 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\MaksR\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-21 17:26:16,069 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\MaksR\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
